flight_id,flight_number,callsign,airline,airline_iata,airline_icao,aircraft_model,aircraft_code,registration,status,status_category,scheduled,estimated,origin_airport,origin_iata,origin_icao,origin_city,origin_country,destination_airport,destination_iata,flight_type,data_airport,data_timestamp,baggage_claim,terminal,gate,destination_icao,destination_city,destination_country
,LH1330,DLH1330,Lufthansa,LH,DLH,Airbus A321-271NX,A21N,D-AIEK,Scheduled,scheduled,1756251000,,Frankfurt Airport,FRA,EDDF,Frankfurt,Germany,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277778,,2,,,,
,TU705,,Tunisair,TU,TAR,,32A,,Scheduled,scheduled,1756253400,,Tunis Carthage International Airport,TUN,DTTA,Tunis,Tunisia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277801,,2,,,,
,3O438,MAC438,Air Arabia,G9,ABY,Airbus A320-214,A320,CN-NMQ,Scheduled,scheduled,1756260900,,Istanbul Sabiha Gokcen International Airport,SAW,LTFJ,Istanbul,Turkey,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277821,,2,,,,
,3O452,,Air Arabia Maroc,3O,MAC,,320,,Scheduled,scheduled,1756263600,,Milan Bergamo Orio al Serio International Airport,BGY,LIME,Milan,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277841,,2,,,,
,SV377,,Saudia,SV,SVA,Boeing 787-10 Dreamliner,B78X,HZ-AR27,Scheduled,scheduled,1756269600,,Jeddah King Abdulaziz International Airport,JED,OEJN,Jeddah,Saudi Arabia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277862,,2,,,,
,AT522,,Royal Air Maroc,AT,RAM,,788,,Scheduled,scheduled,1756272000,,Bamako Senou International Airport,BKO,GABS,Bamako,Mali,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277882,,2,,,,
,HC331,,Air Senegal,HC,SZN,,320,,Scheduled,scheduled,1756272000,,Dakar Blaise Diagne International Airport,DSS,GOBD,Dakar,Senegal,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277902,,2,,,,
,AT510,,Royal Air Maroc,AT,RAM,,73H,,Scheduled,scheduled,1756272300,,Nouakchott Oumtounsy International Airport,NKC,GQNO,Nouakchott,Mauritania,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277922,,2,,,,
,AT500,,Royal Air Maroc,AT,RAM,,788,,Scheduled,scheduled,1756272600,,Dakar Blaise Diagne International Airport,DSS,GOBD,Dakar,Senegal,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277942,,2,,,,
,AT441,,Royal Air Maroc,AT,RAM,,AT7,,Scheduled,scheduled,1756273200,,Fes Saiss Airport,FEZ,GMFF,Fes,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277961,,2,,,,
